id;titulo;fecha;dimensiones;tecnica;archivo
1;Los Suicidas del Sisga No 1;01-01-1965;120x100cm;îleo sobre lienzo;suicidas-sisga-1.jpg
2;El Para’so;01-01-1997;160x45 cm;îleo sobre lienzo;el-paraiso.jpg
3;Z—calo de la tragedia;01-01-1983;100x70cm;Tipograf’a sobre papel;zocalo-tragedia.jpg
