id;titulo;fecha;periodico;archivo
1;"Doble suicidio en ""El Sisga""";29-06-1965;El Tiempo;doble-suicidio-el-tiempo.jpg
2;Una ind’gena y su hijo murieron en persecuci—n;24-05-1996;El Tiempo;indigena-hijo-el-tiempo.jpg
3;L‡minas de paisajes latinoamericanos;;;laminas-paisajes.jpg
4;Exmilitar Mata a la Esposa de su Amigo y se Suicida;;;exmilitar-mata-esposa.jpg
